F1A,R1,ATL,CLT,05:00:00,06:02:00,05:00:00,06:02:00,2024-08-01,2024-08-01,AB3-1,10,25,1,226.36,0.0,0.0
F2A,R1,CLT,DCA,07:02:00,07:59:00,07:02:00,07:59:00,2024-08-01,2024-08-01,AB3-1,9,21,1,331.04,0.0,0.0
F3A,R1,DCA,BNA,08:59:00,09:25:00,08:59:00,09:25:00,2024-08-01,2024-08-01,AB3-1,6,22,1,560.69,0.0,-1.0
F4A,R1,BNA,ATL,10:25:00,12:16:00,10:25:00,12:16:00,2024-08-01,2024-08-01,AB3-1,6,25,1,214.02,-1.0,0.0
F1B,R1,ATL,CLT,13:16:00,14:18:00,13:16:00,14:18:00,2024-08-01,2024-08-01,AB3-1,10,25,1,226.36,0.0,0.0
F2B,R1,CLT,DCA,15:18:00,16:15:00,15:18:00,16:15:00,2024-08-01,2024-08-01,AB3-1,9,21,1,331.04,0.0,0.0
F3B,R1,DCA,BNA,17:15:00,17:41:00,17:15:00,17:41:00,2024-08-01,2024-08-01,AB3-1,6,22,1,560.69,0.0,-1.0
F4B,R1,BNA,ATL,18:41:00,20:32:00,18:41:00,20:32:00,2024-08-01,2024-08-01,AB3-1,6,25,1,214.02,-1.0,0.0
F1C,R1,ATL,CLT,21:32:00,22:34:00,21:32:00,22:34:00,2024-08-01,2024-08-01,AB3-1,10,25,1,226.36,0.0,0.0
F2C,R1,CLT,DCA,23:34:00,00:31:00,23:34:00,00:31:00,2024-08-01,2024-08-01,AB3-1,9,21,1,331.04,0.0,0.0
F5A,R2,JFK,CDG,05:00:00,18:14:00,05:00:00,18:14:00,2024-08-01,2024-08-01,B7474-1,193,193,1,3407.96,0.0,6.0
F6A,R2,CDG,JFK,19:14:00,20:28:00,19:14:00,20:28:00,2024-08-01,2024-08-01,B7474-1,184,184,1,3407.96,6.0,0.0
F7A,R3,JFK,BOS,05:00:00,05:56:00,05:00:00,05:56:00,2024-08-01,2024-08-01,AB3-2,64,81,1,186.25,0.0,0.0
F8A,R3,BOS,DCA,06:56:00,07:45:00,06:56:00,07:45:00,2024-08-01,2024-08-01,AB3-2,17,91,1,398.61,0.0,0.0
F9A,R3,DCA,JFK,08:45:00,09:46:00,08:45:00,09:46:00,2024-08-01,2024-08-01,AB3-2,74,128,1,212.92,0.0,0.0
F7B,R3,JFK,BOS,10:46:00,11:42:00,10:46:00,11:42:00,2024-08-01,2024-08-01,AB3-2,64,81,1,186.25,0.0,0.0
F8B,R3,BOS,DCA,12:42:00,13:31:00,12:42:00,13:31:00,2024-08-01,2024-08-01,AB3-2,17,91,1,398.61,0.0,0.0
F9B,R3,DCA,JFK,14:31:00,15:32:00,14:31:00,15:32:00,2024-08-01,2024-08-01,AB3-2,74,128,1,212.92,0.0,0.0
F7C,R3,JFK,BOS,16:32:00,17:28:00,16:32:00,17:28:00,2024-08-01,2024-08-01,AB3-2,64,81,1,186.25,0.0,0.0
F8C,R3,BOS,DCA,18:28:00,19:17:00,18:28:00,19:17:00,2024-08-01,2024-08-01,AB3-2,17,91,1,398.61,0.0,0.0
